Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2024-11-04,407.64404296875,408.4599914550781,410.4200134277344,405.57000732421875,409.79998779296875,19672300
2024-11-05,410.6380310058594,411.4599914550781,414.8999938964844,408.0799865722656,408.3699951171875,17626000
2024-11-06,419.3406066894531,420.17999267578125,420.45001220703125,410.5199890136719,412.4200134277344,26681800
2024-11-07,424.58013916015625,425.42999267578125,426.8500061035156,419.8800048828125,421.2799987792969,19901800
2024-11-08,421.6959228515625,422.5400085449219,426.5,421.7799987792969,425.32000732421875,16891400
2024-11-11,417.1749572753906,418.010009765625,424.80999755859375,416.0,422.5199890136719,24503300
2024-11-12,422.1849365234375,423.0299987792969,424.44000244140625,417.20001220703125,418.25,19401200
2024-11-13,424.3506164550781,425.20001220703125,429.3299865722656,418.2099914550781,421.6400146484375,21502200
2024-11-14,426.0372314453125,426.8900146484375,428.1700134277344,420.0,425.0,30246900
2024-11-15,414.1709899902344,415.0,422.79998779296875,413.6400146484375,419.82000732421875,28247600
2024-11-18,414.9294738769531,415.760009765625,418.3999938964844,412.1000061035156,414.8699951171875,24742000
2024-11-19,416.9554138183594,417.7900085449219,417.94000244140625,411.54998779296875,413.1099853515625,18133500
2024-11-20,414.65997314453125,415.489990234375,417.2900085449219,410.5799865722656,416.8699951171875,19191700
2024-11-21,412.8699951171875,412.8699951171875,419.7799987792969,410.2900085449219,419.5,20780200
2024-11-22,417.0,417.0,417.3999938964844,411.05999755859375,411.3699951171875,24814600
2024-11-25,418.7900085449219,418.7900085449219,421.0799865722656,414.8500061035156,418.3800048828125,27691100
2024-11-26,427.989990234375,427.989990234375,429.0400085449219,418.8500061035156,419.5899963378906,23458900
2024-11-27,422.989990234375,422.989990234375,427.2300109863281,422.0199890136719,425.1099853515625,18332400
2024-11-29,423.4599914550781,423.4599914550781,424.8800048828125,417.79998779296875,420.0899963378906,16271900
